generation,fitness,entropy,pitch_range,interval_variety,consonant_fraction,unique_pitches,scale_weights,rhythm_density,syncopation,interval_bias,articulation,dynamics_range,consonance_preference,genre
0,0.853829,4.3886,34,28,0.6382,30,"[0.0005451705728845516, 0.019003545779542073, 0.03617402067295181, 0.041060631057793465, 0.0338449349674232, 0.25857115288908883, 0.0978353001750181, 0.10090159101567767, 0.03069967548441604, 0.13190864289883236, 0.1668702400267584, 0.08258509445961351]",0.3779460396497176,0.2868650637532112,0.6008795966245374,0.16198502909962215,0.39944356338743814,0.4560509173154623,jazz
24,0.985612,4.6325,35,32,0.5829,32,"[0.1403431764830747, 0.02368008286393635, 0.20757438135038483, 0.12938002204725307, 0.07181081034066146, 0.00991043036175423, 0.04953718909027144, 0.08765355477429439, 0.01827511175775307, 0.10767813011604865, 0.06628118812088833, 0.08787592269367955]",0.5033912564888817,0.39754797034971623,0.4952448341781738,0.7331773809477593,0.19357105807378608,0.5008993983960169,jazz
49,0.993908,4.6204,35,31,0.603,31,"[0.09777451494651027, 0.010945595772229921, 0.1687264204683267, 0.10298185352224432, 0.028639556655459596, 0.10472719367212047, 0.018277311581461498, 0.11131315631538345, 0.04570294853949726, 0.16520032725019207, 0.08369588294574505, 0.062015238330829496]",0.5033912564888817,0.39754797034971623,0.49835939922385303,0.6432489603698034,0.01,0.5008993983960169,jazz
74,0.996529,4.6116,35,33,0.6784,31,"[0.10601225906378992, 0.007841190307666113, 0.14991181082696697, 0.11844368455630008, 0.03291211354233177, 0.11910438474675569, 0.011286629179985236, 0.10310630218212088, 0.030146375706612716, 0.1601025459370916, 0.10406338424801478, 0.05706931970236429]",0.49850792050035353,0.39754797034971623,0.5015389845525728,0.6437456344984429,0.056192373475604344,0.5008993983960169,jazz
99,0.997439,4.733,35,32,0.6382,34,"[0.10046488940063288, 0.021764484298891162, 0.15114660589648185, 0.1213627196881939, 0.032125527508441394, 0.12019758046991547, 0.012050743191069307, 0.10007086575056544, 0.029995742878453076, 0.1508455220040994, 0.10015777335472029, 0.05981754555853595]",0.49850792050035353,0.39754797034971623,0.5015389845525728,0.6437456344984429,0.1307255663160993,0.5008993983960169,jazz
0,0.941223,4.4107,34,29,0.6935,29,"[0.0037371944552125544, 0.10646231776744781, 0.13531688591720933, 0.04213228239216826, 0.09110165058418344, 0.08804555360020111, 0.16878735801470202, 0.07823059115289646, 0.014163848790633041, 0.01702985218009647, 0.01405898810524179, 0.2409334770400076]",0.4911946501251977,0.4206404489253066,0.4751186134930959,0.12040316900797787,0.32197178692605616,0.6452085736692318,classical
24,0.979105,4.4324,35,30,0.6683,28,"[0.1283012649356543, 0.010515325467580244, 0.11206746555080423, 0.01011471481765437, 0.18610476173625473, 0.14665561968903285, 0.01011471481765437, 0.16670080973410847, 0.008825014439418835, 0.09831585530993177, 0.04762749823611931, 0.07465695526578665]",0.4911946501251977,0.4139462779038579,0.4940340597302307,0.1185356251984121,0.44243084798533594,0.7113613667966008,classical
49,0.992928,4.4519,35,30,0.6432,28,"[0.15292074560069047, 0.010222464705168162, 0.1211763435913915, 0.01190775049114568, 0.11816983359541806, 0.12580263055968566, 0.019295809575637188, 0.12234086489314124, 0.006059487997815996, 0.11019675707170505, 0.01830382891254649, 0.18360348300565438]",0.5022664908838956,0.39789168371035316,0.49820785999819467,0.23280256989153025,0.3410229949868881,0.6966985895170918,classical
74,0.995079,4.491,35,33,0.6231,29,"[0.14987200159210565, 0.009734772394496893, 0.12236817701918526, 0.022399889674768796, 0.11982930549616785, 0.12420777980390481, 0.01742110449727565, 0.15319833417965736, 0.010728193351749347, 0.13450800992897202, 0.01193794829888502, 0.1237944837628313]",0.5022664908838956,0.39789168371035316,0.49820785999819467,0.38873260176024643,0.4529237039786726,0.6966985895170918,classical
99,0.99602,4.4679,35,31,0.6734,29,"[0.15159016245347262, 0.011294017441420105, 0.12016534777511305, 0.021197613297061824, 0.12206008149011104, 0.12045661232037289, 0.02020351664575179, 0.15291017587231226, 0.01705503306633961, 0.12246517807027801, 0.020050818287344434, 0.1205514432804224]",0.5022664908838956,0.39789168371035316,0.49820785999819467,0.38873260176024643,0.3369957603186549,0.6966985895170918,classical
0,0.881483,4.7014,35,32,0.6633,33,"[0.13580934345350304, 0.09684420982899619, 0.14207311972021405, 0.07651898784399551, 0.024376451407721496, 0.15435994465117844, 0.15309741021751044, 0.00620112277637648, 0.013442058456597772, 0.08535132696921603, 0.06600902261666759, 0.04591700205802308]",0.4612374066462024,0.30311310228942984,0.3695588611391023,0.588438791758269,0.27992165923630874,0.3410540987879208,electronic
24,0.981998,4.4815,35,32,0.6131,30,"[0.11561475850746263, 0.008769485994948374, 0.03584916070698659, 0.14622919032719572, 0.04133940771417311, 0.14185508533004793, 0.024442043649363903, 0.11164430399778916, 0.013482418571831498, 0.0058101620030697985, 0.16775140779519593, 0.1872125754019354]",0.5115733114812848,0.3957792419477007,0.48690248573324035,0.7824976413092153,0.7245725011097062,0.2981123628444436,electronic
49,0.991941,4.7613,35,31,0.6181,35,"[0.14331579562718116, 0.055576748334951305, 0.03997943239524784, 0.16214220626139356, 0.06467631157770551, 0.12972683549795822, 0.019962118868033146, 0.12638670121538723, 0.05946209918690078, 0.03254870744683277, 0.14476933727822155, 0.021453706310186976]",0.5047989094881616,0.4018689652284888,0.4997978296304924,0.7551250511077058,0.7711491558747962,0.2981123628444436,electronic
74,0.99253,4.6742,35,34,0.603,33,"[0.1301704681156899, 0.026194832264089526, 0.03829564807520148, 0.15243219704401195, 0.022699713377164702, 0.14131126641790037, 0.026483342305236447, 0.12662355720842502, 0.031006241081512016, 0.04451227761331551, 0.20633788782602253, 0.053932568671430516]",0.5047989094881616,0.4018689652284888,0.4997978296304924,0.7478575771799446,0.4966003181323445,0.3010725798796117,electronic
99,0.993454,4.4844,35,30,0.7286,33,"[0.13318139004234059, 0.027620975073236607, 0.037982357413062016, 0.16009016168225504, 0.02093232417976673, 0.1337555104163239, 0.028392246955505275, 0.14968933389671749, 0.03286740535894633, 0.03627184726874401, 0.21395932056336878, 0.025257127149733317]",0.5024883895658343,0.4018689652284888,0.4997978296304924,0.7478575771799446,0.4966003181323445,0.3010725798796117,electronic
